t2814749767106560	auto
t2815024669392896	auto>品牌/车型>卡尔森
t2815024664870912	auto>品牌/车型>开瑞
t2815024656220160	auto>品牌/车型>凯迪拉克
t2815024659890176	auto>品牌/车型>科尼赛克
t2815024654909440	auto>品牌/车型>克莱斯勒
t2815024668344320	auto>品牌/车型>拉达
t2815024657727488	auto>品牌/车型>兰博基尼
t2815024658710528	auto>品牌/车型>蓝旗亚
t2815024669458432	auto>品牌/车型>劳伦士
t2815024658317312	auto>品牌/车型>劳斯莱斯
t2815024657989632	auto>品牌/车型>雷克萨斯
t2815024658382848	auto>品牌/车型>雷诺
t2815024666050560	auto>品牌/车型>理念
t2815024662052864	auto>品牌/车型>力帆
t2815024663822336	auto>品牌/车型>莲花
t2815024655695872	auto>品牌/车型>猎豹
t2815024657137664	auto>品牌/车型>林肯
t2815024660938752	auto>品牌/车型>铃木
t2815024655826944	auto>品牌/车型>陆风
t2815024657334272	auto>品牌/车型>路虎
t2815024659496960	auto>品牌/车型>路特斯
t2815024657465344	auto>品牌/车型>马自达
t2815024658776064	auto>品牌/车型>玛莎拉蒂
t2815024655171584	auto>品牌/车型>迈巴赫
t2815024665591808	auto>品牌/车型>迈凯伦
t2815024666247168	auto>品牌/车型>梅尔库斯
t2815024659759104	auto>品牌/车型>摩根
t2815024666181632	auto>品牌/车型>纳智捷
t2815024654843904	auto>品牌/车型>南亚
t2815024658972672	auto>品牌/车型>讴歌
t2815024656744448	auto>品牌/车型>欧宝
t2815024667164672	auto>品牌/车型>欧朗
t2815024659955712	auto>品牌/车型>帕加尼
t2815024656547840	auto>品牌/车型>庞蒂克
t2815024655106048	auto>品牌/车型>普利茅斯
t2815024654712832	auto>品牌/车型>奇瑞
t2815024666116096	auto>品牌/车型>启辰
t2815024659169280	auto>品牌/车型>起亚
t2815024656089088	auto>品牌/车型>青年云雀
t2815024658448384	auto>品牌/车型>日产
t2815024663429120	auto>品牌/车型>荣威
t2815024667230208	auto>品牌/车型>如虎
t2815024664608768	auto>品牌/车型>瑞麒
t2815024656809984	auto>品牌/车型>萨博
t2815024661659648	auto>品牌/车型>塞恩Scion
t2815024655302656	auto>品牌/车型>三菱
t2815024669655040	auto>品牌/车型>陕汽通家
t2815024665329664	auto>品牌/车型>上海牌
t2815024668540928	auto>品牌/车型>绅宝
t2815024661069824	auto>品牌/车型>世爵
t2815024667295744	auto>品牌/车型>首望
t2815024660348928	auto>品牌/车型>双环
t2815024659628032	auto>品牌/车型>双龙
t2815024657203200	auto>品牌/车型>水星
t2815024667033600	auto>品牌/车型>思铭
t2815024656875520	auto>品牌/车型>斯巴鲁
t2815024657858560	auto>品牌/车型>斯柯达
t2815024664346624	auto>品牌/车型>塔塔
t2815024667623424	auto>品牌/车型>腾势
t2815024662970368	auto>品牌/车型>天马
t2815024667754496	auto>品牌/车型>天越
t2815024662773760	auto>品牌/车型>通田
t2815024665853952	auto>品牌/车型>通用
t2815024665460736	auto>品牌/车型>同济同捷
t2815024656613376	auto>品牌/车型>土星
t2815024660545536	auto>品牌/车型>万丰
t2815024664674304	auto>品牌/车型>威麟
t2815024666312704	auto>品牌/车型>威兹曼
t2815024657399808	auto>品牌/车型>沃尔沃
t2815024656678912	auto>品牌/车型>沃克斯豪尔
t2815024654778368	auto>品牌/车型>五菱
t2815024662708224	auto>品牌/车型>五十铃
t2815024657793024	auto>品牌/车型>西雅特
t2815024659103744	auto>品牌/车型>现代
t2815024668672000	auto>品牌/车型>新凯
t2815024666836992	auto>品牌/车型>星客特
t2815024656285696	auto>品牌/车型>雪佛兰
t2815024658907136	auto>品牌/车型>雪铁龙
t2815024665657344	auto>品牌/车型>野马
t2815024654581760	auto>品牌/车型>一汽
t2815024661790720	auto>品牌/车型>一汽吉林
t2815024666968064	auto>品牌/车型>一汽通用
t2815024662577152	auto>品牌/车型>依维柯
t2815024658513920	auto>品牌/车型>英菲尼迪
t2815024664412160	auto>品牌/车型>永源
t2815024660873216	auto>品牌/车型>长安
t2815024667820032	auto>品牌/车型>长安商用
t2815024656023552	auto>品牌/车型>长城
t2815024664018944	auto>品牌/车型>长丰
t2815024655564800	auto>品牌/车型>中华
t2815024666443776	auto>品牌/车型>中欧
t2815024660480000	auto>品牌/车型>中兴
t2815024665788416	auto>品牌/车型>中誉
t2815024661987328	auto>品牌/车型>众泰
t2816399034548224	auto>售后
t1970324836974592	taobaoCategory
t1970324837695488	taobaoCategory>电脑硬件/显示器/电脑周边
t1970324837892096	taobaoCategory>数码相机/单反相机/摄像机
t1970324838023168	taobaoCategory>女装/女士精品
t1970324838285312	taobaoCategory>电玩/配件/游戏/攻略
t1970324838350848	taobaoCategory>居家日用/婚庆/创意礼品
t1970324838481920	taobaoCategory>古董/邮币/字画/收藏
t1970324838612992	taobaoCategory>玩具/模型/动漫/早教/益智
t1970324838678528	taobaoCategory>汽车/用品/配件/改装
t1970324838744064	taobaoCategory>家装主材
t1970324838809600	taobaoCategory>ZIPPO/瑞士军刀/眼镜
t1970324838875136	taobaoCategory>宠物/宠物食品及用品
t1970324838940672	taobaoCategory>男装
t1970324839137280	taobaoCategory>书籍/杂志/报纸
t1970324839202816	taobaoCategory>音乐/影视/明星/音像
t1970324839268352	taobaoCategory>奶粉/辅食/营养品/零食
t1970324839596032	taobaoCategory>腾讯QQ专区
t1970324843462656	taobaoCategory>网络游戏点卡
t1970324909129728	taobaoCategory>笔记本电脑
t1970324915683328	taobaoCategory>MP3/MP4/iPod/录音笔
t1970324915945472	taobaoCategory>影音电器>耳机/耳麦
t1970324928856064	taobaoCategory>数码相机/单反相机/摄像机>数码摄像机
t1970324928921600	taobaoCategory>数码相机/单反相机/摄像机>普通数码相机
t1970324936065024	taobaoCategory>手机
t1970324943273984	taobaoCategory>女装/女士精品>裤子
t1970324943339520	taobaoCategory>女装/女士精品>半身裙
t1970324943405056	taobaoCategory>女装/女士精品>职业套装/学生校服/工作制服
t1970324943470592	taobaoCategory>女士内衣/男士内衣/家居服
t1970324943732736	taobaoCategory>女装/女士精品>大码女装
t1970324955004928	taobaoCategory>美容护肤/美体/精油
t1970324975058944	taobaoCategory>厨房/餐饮用具>茶具
t1970324975517696	taobaoCategory>安防/监控>其它安防设备
t1970324976697344	taobaoCategory>清洁/卫浴/收纳/整理用具>卫浴用具/卫浴配件
t1970324978466816	taobaoCategory>家装主材>环保/除味/保养
t1970324978860032	taobaoCategory>洗护清洁剂/卫生巾/纸/香薰>香熏用品
t1970324981350400	taobaoCategory>户外/登山/野营/旅行用品>其它
t1970324987772928	taobaoCategory>古董/邮币/字画/收藏>古玩杂项
t1970324987904000	taobaoCategory>古董/邮币/字画/收藏>磁卡/卡片
t1970324987969536	taobaoCategory>古董/邮币/字画/收藏>古董木艺
t1970324988035072	taobaoCategory>古董/邮币/字画/收藏>金石篆刻
t1970324988100608	taobaoCategory>古董/邮币/字画/收藏>奇石/观赏石/矿物晶体
t1970324988166144	taobaoCategory>古董/邮币/字画/收藏>其他杂项收藏
t1970324988297216	taobaoCategory>古董/邮币/字画/收藏>邮品
t1970324988362752	taobaoCategory>古董/邮币/字画/收藏>钱币
t1970324988428288	taobaoCategory>古董/邮币/字画/收藏>其它收藏品
t1970324988755968	taobaoCategory>古董/邮币/字画/收藏>票证
t1970324988821504	taobaoCategory>古董/邮币/字画/收藏>古董钟表
t1970325001601024	taobaoCategory>玩具/模型/动漫/早教/益智>户外运动/休闲/传统玩具
t1970325008154624	taobaoCategory>运动/瑜伽/健身/球迷用品>山地/公路/便携自行车
t1970325008547840	taobaoCategory>汽车/用品/配件/改装>出租/培训/其它
t1970325020540928	taobaoCategory>居家日用/婚庆/创意礼品>节日/派对庆典用品
t1970325021327360	taobaoCategory>成人用品/避孕/计生用品
t1970325027160064	taobaoCategory>特色手工艺>禁止发布商品，后果自负(原民间工艺品)
t1970325027225600	taobaoCategory>古董/邮币/字画/收藏>明星纪念品
t1970325027553280	taobaoCategory>ZIPPO/瑞士军刀/眼镜>ZIPPO/芝宝
t1970325027618816	taobaoCategory>ZIPPO/瑞士军刀/眼镜>烟具
t1970325035876352	taobaoCategory>男装>休闲裤
t1970325053636608	taobaoCategory>书籍/杂志/报纸>计算机/网络
t1970325054160896	taobaoCategory>书籍/杂志/报纸>儿童读物/教辅
t1970325054488576	taobaoCategory>居家日用/婚庆/创意礼品>节庆/派对用品
t1970325055275008	taobaoCategory>书籍/杂志/报纸>外语/语言文字
t1970325055340544	taobaoCategory>书籍/杂志/报纸>工具书/百科全书
t1970325055471616	taobaoCategory>书籍/杂志/报纸>体育运动
t1970325055733760	taobaoCategory>书籍/杂志/报纸>哲学和宗教
t1970325060583424	taobaoCategory>音乐/影视/明星/音像>其它
t1970325060780032	taobaoCategory>音乐/影视/明星/音像>音乐CD/DVD
t1970325645819904	taobaoCategory>厨卫用品>厨卫五金
t1970325645885440	taobaoCategory>厨卫用品
t1970332059107328	taobaoCategory>电脑硬件/显示器/电脑周边>主板
t1970332059172864	taobaoCategory>电脑硬件/显示器/电脑周边>内存
t1970332059238400	taobaoCategory>电脑硬件/显示器/电脑周边>CPU
t1970332059369472	taobaoCategory>电脑硬件/显示器/电脑周边>声卡
t1970332059435008	taobaoCategory>电脑硬件/显示器/电脑周边>显卡
t1970332059500544	taobaoCategory>电脑硬件/显示器/电脑周边>硬盘
t1970332059631616	taobaoCategory>网络设备/网络相关>网卡
t1970332059697152	taobaoCategory>电脑硬件/显示器/电脑周边>键盘
t1970332059762688	taobaoCategory>电脑硬件/显示器/电脑周边>机箱
t1970332059828224	taobaoCategory>电脑硬件/显示器/电脑周边>光驱/刻录/DVD
t1970332060024832	taobaoCategory>电脑硬件/显示器/电脑周边>散热设备
t1970332060090368	taobaoCategory>电脑硬件/显示器/电脑周边>电视卡/盒
t1970332066119680	taobaoCategory>台式机/一体机/服务器>DIY兼容机
t1970332078768128	taobaoCategory>办公设备/耗材/相关服务>扫描仪
t1970332078833664	taobaoCategory>电脑硬件/显示器/电脑周边>品牌液晶显示器
t1970332079161344	taobaoCategory>闪存卡/U盘/存储/移动硬盘>移动硬盘
t1970332079226880	taobaoCategory>电脑硬件/显示器/电脑周边>摄像头
t1970332079423488	taobaoCategory>电脑硬件/显示器/电脑周边>手写输入/绘图板
t1970332079620096	taobaoCategory>办公设备/耗材/相关服务>打印机
t1970332098691072	taobaoCategory>网络设备/网络相关>交换机
t1970332098887680	taobaoCategory>网络设备/网络相关>路由器
t1970332098953216	taobaoCategory>网络设备/网络相关>其它网络相关
t1970332124643328	taobaoCategory>办公设备/耗材/相关服务>复合复印机
t1970332125822976	taobaoCategory>办公设备/耗材/相关服务>投影机
t1970332138274816	taobaoCategory>办公设备/耗材/相关服务>其它耗材
t1970332157542400	taobaoCategory>3C数码配件>3G无线上网卡设备
t1970332807200768	taobaoCategory>影音电器>组合/迷你/卡通音响
t1970334019616768	taobaoCategory>数码相机/单反相机/摄像机>单反镜头
t1970334019682304	taobaoCategory>办公设备/耗材/相关服务>胶卷
t1970334693654528	taobaoCategory>移动/联通/电信充值中心>中国移动充值卡
t1970334693720064	taobaoCategory>移动/联通/电信充值中心>中国联通充值卡
t1970334693785600	taobaoCategory>手机号码/套餐/增值业务>IP电话卡/长途卡
t1970334693851136	taobaoCategory>手机号码/套餐/增值业务>网络电话卡
t1970334693982208	taobaoCategory>移动/联通/电信充值中心>固定电话充值卡
t1970335460556800	taobaoCategory>女装/女士精品>毛衣
t1970335460622336	taobaoCategory>女装/女士精品>衬衫
t1970335460687872	taobaoCategory>女装/女士精品>小背心/小吊带
t1970335461408768	taobaoCategory>女装/女士精品>蕾丝衫/雪纺衫
t1970335467241472	taobaoCategory>女装/女士精品>牛仔裤
t1970335598379008	taobaoCategory>服饰配件/皮带/帽子/围巾>婚纱礼服配件
t1970338613100544	taobaoCategory>洗护清洁剂/卫生巾/纸/香薰>驱虫用品
t1970338639183872	taobaoCategory>茶/酒/冲饮>速溶咖啡/咖啡豆/粉
t1970338671886336	taobaoCategory>奶粉/辅食/营养品/零食>婴幼儿牛奶粉
t1970338672410624	taobaoCategory>尿片/洗护/喂哺/推车床>其它
t1970338698035200	taobaoCategory>商业/办公家具>办公家具
t1970338711404544	taobaoCategory>电子词典/电纸书/文化用品>其它文化用品
t1970338711470080	taobaoCategory>电子词典/电纸书/文化用品>计算器
t1970338711601152	taobaoCategory>办公设备/耗材/相关服务>碎纸机
t1970338796273664	taobaoCategory>床上用品/布艺软饰>靠垫/抱枕
t1970338940715008	taobaoCategory>厨房/餐饮用具>酒壶/酒杯/酒具
t1970339078078464	taobaoCategory>宠物/宠物食品及用品>其它宠物
t1970339078537216	taobaoCategory>宠物/宠物食品及用品>狗狗
t1970339078668288	taobaoCategory>宠物/宠物食品及用品>猫/狗玩具
t1970339078733824	taobaoCategory>宠物/宠物食品及用品>水族世界
t1970339916873728	taobaoCategory>古董/邮币/字画/收藏>古瓷器
t1970339923492864	taobaoCategory>古董/邮币/字画/收藏>连环画
t1970341968543744	taobaoCategory>摩托车/配件/骑士装备>其他摩托车用品
t1970343856111616	taobaoCategory>床上用品/布艺软饰>十字绣/刺绣工具配件
t1970343875248128	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>鲜花速递(同城)
t1970343875379200	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>DIY仿真花材料
t1970343881801728	taobaoCategory>ZIPPO/瑞士军刀/眼镜>瑞士军刀
t1970344687960064	taobaoCategory>服饰配件/皮带/帽子/围巾>领带/领结
t1970344688418816	taobaoCategory>服饰配件/皮带/帽子/围巾>袖扣
t1970344688484352	taobaoCategory>服饰配件/皮带/帽子/围巾>帽子
t1970347788337152	taobaoCategory>个人护理/保健/按摩器材>其它个人护理
t1970347794300928	taobaoCategory>大家电>洗衣机
t1970347794890752	taobaoCategory>生活电器>毛球修剪器
t1970347800854528	taobaoCategory>大家电>空调
t1970347800920064	taobaoCategory>生活电器>空气净化/氧吧
t1970347801051136	taobaoCategory>生活电器>暖风机/取暖器
t1970347801247744	taobaoCategory>生活电器>加湿器
t1970347807473664	taobaoCategory>厨房电器>电磁炉
t1970347807539200	taobaoCategory>大家电>消毒柜
t1970347807604736	taobaoCategory>厨房电器>净水器
t1970347807801344	taobaoCategory>厨房电器>咖啡机
t1970347808063488	taobaoCategory>大家电>油烟机
t1970347820580864	taobaoCategory>安防/监控>可视对讲设备
t1970347821039616	taobaoCategory>厨房电器>定时器/提醒器
t1973601637826560	taobaoCategory>厨房电器>多士炉
t1973601640185856	taobaoCategory>书籍/杂志/报纸>自我实现/励志
t1973601640513536	taobaoCategory>书籍/杂志/报纸>艺术
t1973601641103360	taobaoCategory>书籍/杂志/报纸>管理
t1973601641693184	taobaoCategory>书籍/杂志/报纸>考试/教材/论文
t1973601646215168	taobaoCategory>书籍/杂志/报纸>文学
t1973601648574464	taobaoCategory>书籍/杂志/报纸>自然科学
t1973601650147328	taobaoCategory>音乐/影视/明星/音像>电影
t1973601660567552	taobaoCategory>生活电器>电热毯
t1973601665548288	taobaoCategory>男装>T恤
t1973601667579904	taobaoCategory>ZIPPO/瑞士军刀/眼镜>品牌打火机/其它打火机
t1973601673478144	taobaoCategory>男装>针织衫/毛衣
t1973601673740288	taobaoCategory>家居饰品>相框/画框
t1973601674264576	taobaoCategory>清洁/卫浴/收纳/整理用具>衣物洗/晒/护理用具
t1973601675116544	taobaoCategory>床上用品/布艺软饰>地毯
t1973601675182080	taobaoCategory>床上用品/布艺软饰>地垫
t1973601675247616	taobaoCategory>床上用品/布艺软饰>挂毯/壁毯
t1973601680949248	taobaoCategory>女装/女士精品>T恤
t1973601682653184	taobaoCategory>女装/女士精品>毛针织衫
t1973601689534464	taobaoCategory>玩具/模型/动漫/早教/益智>其它玩具
t1973601690255360	taobaoCategory>玩具/模型/动漫/早教/益智>宝宝纪念品/个性产品
t1973601692811264	taobaoCategory>女装/女士精品>中老年女装
t1973601718763520	taobaoCategory>服饰配件/皮带/帽子/围巾>领带夹
t1973601721516032	taobaoCategory>家居饰品>壁饰
t1973601727283200	taobaoCategory>书籍/杂志/报纸>报刊订阅
t1973601748713472	taobaoCategory>住宅家具>柜类
t1973601749565440	taobaoCategory>办公设备/耗材/相关服务>保险箱
t1973601750941696	taobaoCategory>宠物/宠物食品及用品>宠物服饰及配件
t1973601751531520	taobaoCategory>男装>民族服装
t1973601755594752	taobaoCategory>电脑硬件/显示器/电脑周边>多媒体音箱
t1973601755791360	taobaoCategory>大家电>家庭影院
t1973601759592448	taobaoCategory>床上用品/布艺软饰>休闲毯/毛毯/绒毯
t1973601763524608	taobaoCategory>古董/邮币/字画/收藏>趣味收藏
t1973601763655680	taobaoCategory>古董/邮币/字画/收藏>可乐系列收藏(作废）
t1973601765752832	taobaoCategory>书籍/杂志/报纸>漫画/动漫小说
t1973601770995712	taobaoCategory>家居饰品>DIY/数字油画
t1973601784954880	taobaoCategory>厨房/餐饮用具>烧烤/烘焙用具
t1973601794850816	taobaoCategory>家装主材>厨房
t1973601795244032	taobaoCategory>电脑硬件/显示器/电脑周边>键鼠套装
t1973601795768320	taobaoCategory>玩具/模型/动漫/早教/益智>毛绒公仔
t1973601799438336	taobaoCategory>网游装备/游戏币/帐号/代练>手机游戏
t1973601803108352	taobaoCategory>厨房电器>酸奶机
t1973601818247168	taobaoCategory>零食/坚果/特产
t1973601818378240	taobaoCategory>个人护理/保健/按摩器材
t1973601819754496	taobaoCategory>床上用品/布艺软饰>挂帘/门帘/纱窗/配件
t1973601820213248	taobaoCategory>厨房/餐饮用具>餐具
t1973601821065216	taobaoCategory>厨房电器>微波炉
t1973601826373632	taobaoCategory>生活电器>干鞋器/擦鞋器
t1973601826570240	taobaoCategory>厨房电器>饮水机
t1973601826635776	taobaoCategory>厨房电器>电烤箱
t1973601826897920	taobaoCategory>厨房电器>煮蛋器/蒸蛋器
t1973601834041344	taobaoCategory>安防/监控>成套监控系统
t1973601835089920	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>卡通花/巧克力花
t1973601840922624	taobaoCategory>书籍/杂志/报纸>生活
t1973601847541760	taobaoCategory>电脑硬件/显示器/电脑周边>硬盘盒
t1973601852653568	taobaoCategory>音乐/影视/明星/音像>电视剧
t1973601854029824	taobaoCategory>3C数码配件>干电池/充电电池/套装
t1973601854291968	taobaoCategory>网店/网络服务/软件>软件cd-key/序列号
t1973601854423040	taobaoCategory>影音电器>麦克风/话筒
t1973601854619648	taobaoCategory>电脑硬件/显示器/电脑周边>电脑周边
t1973601863860224	taobaoCategory>家居饰品>挂历/台历
t1973601871790080	taobaoCategory>古董/邮币/字画/收藏>现代紫砂艺术
t1973601878081536	taobaoCategory>音乐/影视/明星/音像>动画碟
t1973601878278144	taobaoCategory>玩具/模型/动漫/早教/益智>卡通/动漫/游戏周边
t1973601879130112	taobaoCategory>厨房电器>电热水壶
t1973601884045312	taobaoCategory>数码相机/单反相机/摄像机>胶卷相机
t1973601884241920	taobaoCategory>数码相机/单反相机/摄像机>专业数码单反
t1973601885552640	taobaoCategory>数码相机/单反相机/摄像机>LOMO
t1973601885618176	taobaoCategory>摩托车/配件/骑士装备>摩托车整车
t1973601889157120	taobaoCategory>电脑硬件/显示器/电脑周边>台机电源
t1973601889288192	taobaoCategory>电脑硬件/显示器/电脑周边>其它卡类
t1973601889484800	taobaoCategory>网店/网络服务/软件>其它服务
t1973601889943552	taobaoCategory>茶/酒/冲饮>天然粉粉食品
t1973601891319808	taobaoCategory>大家电>冰箱
t1973601895710720	taobaoCategory>居家日用/婚庆/创意礼品>竹炭包
t1973601895776256	taobaoCategory>清洁/卫浴/收纳/整理用具>家务/地板清洁用具
t1973601896038400	taobaoCategory>安防/监控>门禁管理设备
t1973601896103936	taobaoCategory>安防/监控
t1973601896169472	taobaoCategory>安防/监控>门窗报警器
t1973601896235008	taobaoCategory>安防/监控>成套报警器
t1973601896366080	taobaoCategory>安防/监控>报警探测器
t1973601922908160	taobaoCategory>厨房电器>电饼铛/可丽饼机
t1973601926447104	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>鲜果篮(预定与速递)
t1973601927823360	taobaoCategory>厨房/餐饮用具>咖啡器具
t1973601939750912	taobaoCategory>书籍/杂志/报纸>社会科学
t1973601939816448	taobaoCategory>书籍/杂志/报纸>报纸
t1973601941389312	taobaoCategory>书籍/杂志/报纸>娱乐时尚
t1973601942241280	taobaoCategory>书籍/杂志/报纸>历史
t1973601943289856	taobaoCategory>书籍/杂志/报纸>小说
t1973601944141824	taobaoCategory>书籍/杂志/报纸>经济
t1973601945452544	taobaoCategory>书籍/杂志/报纸>科普读物
t1973601946632192	taobaoCategory>书籍/杂志/报纸>旅游
t1973601947811840	taobaoCategory>书籍/杂志/报纸>保健/心理类书籍
t1973601949384704	taobaoCategory>书籍/杂志/报纸>医学卫生
t1973601950760960	taobaoCategory>书籍/杂志/报纸>工业/农业技术
t1973601951940608	taobaoCategory>书籍/杂志/报纸>文化
t1973601952595968	taobaoCategory>书籍/杂志/报纸>法律
t1973601953841152	taobaoCategory>书籍/杂志/报纸>地图/地理
t1973601954758656	taobaoCategory>书籍/杂志/报纸>育儿书籍
t1973601956134912	taobaoCategory>书籍/杂志/报纸>国外原版书/台版、港版书
t1973601957642240	taobaoCategory>书籍/杂志/报纸>政治军事
t1973601959739392	taobaoCategory>书籍/杂志/报纸>传记
t1973601961902080	taobaoCategory>移动/联通/电信充值中心
t1973601962033152	taobaoCategory>书籍/杂志/报纸>培训课程
t1973601965244416	taobaoCategory>影音电器>影碟机/DVD/蓝光/VCD/高清
t1973601966817280	taobaoCategory>床上用品/布艺软饰>布料/面料/手工diy布料面料
t1973601967931392	taobaoCategory>3C数码配件>蓝牙耳机
t1973601967996928	taobaoCategory>3C数码配件>MP3/MP4配件
t1973601968586752	taobaoCategory>古董/邮币/字画/收藏>收藏品保养/鉴定工具
t1973601971798016	taobaoCategory>手机号码/套餐/增值业务>Skype充值专区
t1973601976057856	taobaoCategory>影音电器>硬盘播放器
t1973601982414848	taobaoCategory>音乐/影视/明星/音像>成人教育音像
t1973601982480384	taobaoCategory>音乐/影视/明星/音像>生活百科
t1973601982545920	taobaoCategory>音乐/影视/明星/音像>戏曲综艺
t1973601994604544	taobaoCategory>腾讯QQ专区>QQ秀
t1973601994670080	taobaoCategory>腾讯QQ专区>QQ宠物
t1973601994801152	taobaoCategory>腾讯QQ专区>QQ空间
t1973601994866688	taobaoCategory>腾讯QQ专区>腾讯游戏
t1973601994932224	taobaoCategory>腾讯QQ专区>QQ币/QQ卡
t1973601996832768	taobaoCategory>腾讯QQ专区>QQ其它
